Component,Reason
0,Appear to be eyeblinks due to peaks in time series and frontal activity.
1,Appear to be eyeblinks due to peaks in time series and frontal activity.
4,Appear to be eyeblinks due to peaks in time series and frontal activity.
8,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
10,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
22,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
25,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
27,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
35,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
41,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
45,"Activity appears to change during eyeblinks. Because the activity is only frontal, it is removed to be sure."
